,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
198,2023.02.09,한국조선해양,"80,800","1,200",+1.51%,"241,733","+2,607","+8,404","13,885,866",19.62%
212,2023.02.01,한화솔루션,"46,050",700,+1.54%,"937,897","-67,787","+43,522","50,284,032",26.29%
213,2023.02.02,한화솔루션,"46,600",550,+1.19%,"2,045,241","+154,020","-248,685","50,052,034",26.17%
214,2023.02.03,한화솔루션,"46,500",100,-0.21%,"1,514,790","-46,300","-95,777","49,956,257",26.12%
215,2023.02.06,한화솔루션,"46,750",250,+0.54%,"1,385,099","+9,919","+148,084","50,104,341",26.19%
216,2023.02.07,한화솔루션,"47,150",400,+0.86%,"1,107,938","-39,530","+107,137","50,188,478",26.24%
217,2023.02.08,한화솔루션,"46,700",450,-0.95%,"1,186,172","-148,288","-16,851","50,172,386",26.23%
218,2023.02.09,한화솔루션,"47,750","1,050",+2.25%,"1,828,530","+186,658","+243,211","50,361,235",26.33%
232,2023.02.01,SKC,"97,400","2,200",+2.31%,"152,090","-7,864","+17,036","5,391,052",14.24%
233,2023.02.02,SKC,"98,700","1,300",+1.33%,"190,765","+14,108",+659,"5,390,280",14.23%
234,2023.02.03,SKC,"98,200",500,-0.51%,"116,128","+18,992","-12,667","5,373,417",14.19%
235,2023.02.06,SKC,"96,200","2,000",-2.04%,"146,110","-19,449","+2,805","5,268,321",13.91%
236,2023.02.07,SKC,"100,100","3,900",+4.05%,"410,816","+2,979","+14,096","5,292,417",13.98%
237,2023.02.08,SKC,"95,800","4,300",-4.30%,"428,511","-82,146","-153,174","5,139,243",13.57%
238,2023.02.09,SKC,"96,100",300,+0.31%,"212,405","-56,714","+22,817","5,162,060",13.63%
252,2023.02.01,SK텔레콤,"46,150",450,-0.97%,"1,293,853","-27,683","-474,420","98,301,439",44.92%
253,2023.02.02,SK텔레콤,"46,300",150,+0.33%,"811,402","-2,791","-125,315","98,176,124",44.86%
254,2023.02.03,SK텔레콤,"46,350",50,+0.11%,"708,779","-1,975","-123,099","98,053,025",44.81%
255,2023.02.06,SK텔레콤,"46,250",100,-0.22%,"1,058,025","-50,229","-85,811","97,967,214",44.77%
256,2023.02.07,SK텔레콤,"46,700",450,+0.97%,"988,691","-9,729","+62,294","98,029,508",44.80%
257,2023.02.08,SK텔레콤,"46,700",0,0.00%,"1,022,527","-27,669","-76,294","97,953,214",44.76%
258,2023.02.09,SK텔레콤,"46,700",0,0.00%,"3,569,972","+146,906","-461,196","97,492,018",44.55%
272,2023.02.01,LG화학,"688,000","2,000",-0.29%,"282,102","-1,122","-16,831","34,253,917",48.52%
273,2023.02.02,LG화학,"676,000","12,000",-1.74%,"275,597","-18,426","-48,892","34,207,995",48.46%
274,2023.02.03,LG화학,"674,000","2,000",-0.30%,"211,018","-28,311","+7,000","34,214,995",48.47%
275,2023.02.06,LG화학,"658,000","16,000",-2.37%,"169,927","-17,061","-11,812","34,203,183",48.45%
276,2023.02.07,LG화학,"681,000","23,000",+3.50%,"241,408","+5,528","+45,956","34,229,339",48.49%
277,2023.02.08,LG화학,"672,000","9,000",-1.32%,"134,248","-6,884","-15,716","34,213,623",48.47%
278,2023.02.09,LG화학,"680,000","8,000",+1.19%,"206,970","+1,550","+33,686","34,247,309",48.51%
292,2023.02.01,웹케시,"15,840",60,+0.38%,"14,438",+8,-97,"2,345,618",17.01%
